numero_passage,sortie,sortie_choix_libre,sortie_passage_ignore,nombre_de_cases,nombre_de_coches_requises,action,duree,environnement,illustration,carte,description_fin,combat,blessure,objet_acquis,objet_perdu,objet_requis,type_de_stockage,competence_requise,test_aleatoire,code_acquis,code_perdu,code_requis,etat_du_monde_acquis,etat_du_monde_requis,divinite_acquise,divinite_perdue,divinite_requise,resurrection_acquise,resurrection_perdue,benediction_acquise,benediction_perdue,niveau_equipage_modifie,titre_et_honneur_acquis,titre_et_honneur_perdu,sortie_objet_acquis,sortie_objet_perdu,sortie_objet_requis,sortie_test_competence,sortie_test_aleatoire,sortie_code_acquis,sortie_code_requis,sortie_etat_du_monde_acquis,sortie_etat_du_monde_requis,sortie_condition_requise,sortie_classe_requise,sortie_divinite_acquise,sortie_divinite_requise,sortie_benediction_perdue,sortie_benediction_requise,sortie_titre_et_honneur_requis,sortie_niveau_equipage_modifie,sortie_niveau_equipage_requis,sortie_nombre_de_coches_requises,sortie_autre_livre,doute,commentaire
,381,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,,,,,,,,,,,,,,,,,
80,425,2,,,,"surveiller, dialoguer",,rue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,94,0,,,,,,,,,,golem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combat gagné,,,,,,,,,,,,
,488,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combat perdu,,,,,,,,,,,,
82,310,2,,,,"explorer, pêcher",,fleuve,L'image montre une falaise et la ville de Port-Jaune au loin.,,,,,poisson creuset,,,,,1d6,,,,empoisonnement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,558,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,278,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,90,0,,,,"naviguer, faire l'inventaire",,"navire, mer",,,,,,,cargaison (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,142,2,,,,embarquer,,port,L'image montre desmontagnes et des nuages. Sans rapport avec le passage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,222,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,190,2,,,,naviguer,,baie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,136,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,416,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,258,2,,,,"observer, dialoguer",,temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,573,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trois Fortunes,,,,,,,,,
,603,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,400,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,x,0,,,,"voyager, combattre, se faire bénir",,route,,,,pèlerin fou,,bâton,,,,,1d6,,,,,,,,,,,Protection des Tempêtes,,,,,,,,,,,,,,,,,,,,,,,,,,
,510,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,427,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,548,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,104,0,,,,investir,,,L'image montre 8 pièces. Sans rapport avec le passage.,,,,,charde (selon investissements),charde (selon investissements),,,,2d6,,,"Almanach, Brosse, Éthéré",,,,,Trois Fortunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,507,0,,,,"esquiver, nager, dialoguer, fuir, se transformer, embarquer, naviguer",,"sous l'eau, mer",,,,,,charde (300),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,633,0,,,,"naviguer, dialoguer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,,,,,,,,,,,,,,,,,
,484,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,,,,,,,,,,,,,,,,,
91,109,0,,1,,"observer, jouer, parier",,casino,,,,,,charde (100),charde (20),,,,2d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
92,400,0,,,,fouiller,,,,,,,,oeil d'opale ardent,,,,,,,Bernacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,359,0,1,,,"dialoguer, donner, bénir",,rue,,,,,,,charde (5),,,,,,,,,,,,,,,,,,,,,,,,,,Azur,,,,,,,,,,,,,,,
,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,227,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,632,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,509,0,,,,"s'infliter, dérober",,temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adresse,,,,,,,,,,,,,,,,,,
,228,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adresse,,,,,,,,,,,,,,,,,,
95,10,0,,,,dialoguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,432,0,,,,combattre,,,,,,milicien (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,218,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,se rendre,,,,,,,,,,,,
97,584,0,,,,"explorer, observer, dialoguer, résister à un sort",,plage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piété,,,,,,,,,,,,,,,,,,
,159,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piété,,,,,,,,,,,,,,,,,,
98,474,0,,,,"dialoguer, voyager",,"montagnes, colline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,168,2,,,,voyager,,rivière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,306,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,175,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,560,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,579,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,158,2,,,,"visiter, dialoguer, emménager",,cité,"""Cité de Marlock"". Une autre image montre une ville depuis le ciel. On y voit notamment une place du marché ainsi qu'un amphithéâtre.",,,,,,charde (200),charde (200),,,,,,,maison à Marlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,235,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,568,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,396,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,142,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,571,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,138,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,434,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,535,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,601,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,377,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,175,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,579,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,204,0,,,,"scander, fuir",,,,,,,,tout ce qui a été perdu au passage 508,,,,,,,,,,,,,,,,,,,,,,,,Combat,,,,,,,,,,,,,,,,,,
,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combat,,,,blessure,,,,,,,,,,,,,,
102,655,0,1,,,dialoguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Défense,,,,,,,,,,,,,,,
,677,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missive codée,,,,,,,,,,,,,,,,,,,
,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,e,0,,,,naviguer,jour (quelques),"mer, île",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Par-delà la mer de sang noir (99),,
104,571,0,,,,"investir, dialoguer",,banque,,,,,,,,,investissement (charde),,,,"Almanach, Brosse, Éthéré",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,x,0,,,,combattre,,,,,combat fatal contre un shaman scorpion,shaman scorpion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,532,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,306,0,,,,commercer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magie,,,,,,,,,,,,,,,,,,
,489,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magie,,,,,,,,,,,,,,,,,,
107,282,0,,,,,,,,,,,,,charde (25),,,,,,,,,,,,Tyrnai,,,Tyrnai,,,,,,,,,,,,,,,,,,,,,,,,,,
108,132,0,,,,"rêver, naviguer, se noyer, se réveiller, observer, suivre, jouer de la musique",nuit (1),"rêve, navire, sous l'eau, palais, salle du trône","Une image montre le roi des profondeur afficher un profond ennui, entouré de la reine et de deux garde.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charisme,,,,,,,,,,,,,,,,,,
,457,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charisme,,,,,,,,,,,,,,,,,,
109,540,2,,,,observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,668,1,,,,explorer,,"colline, carrière",,,,,,,,,,,,,,,,,,,,,,,,,,,,charde (50),charde (50),,,,,,,,,,,,,,,,,,,
,400,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,276,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,121,2,,,,aucune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,605,2,,,,observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,400,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,550,0,1,,,dialoguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armure,,,,,,,,,,,,,,,
,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voleur,,,,,,,,,,,
,235,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,100,0,,,,se faire soigner,,,,,,,,,,,,,,,,,"plus de maladies, plus de poisons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,446,1,,,,aucune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,226,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,322,0,1,1,,observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,547,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,149,0,,,,"traquer, observer",,"taverne, cité",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charisme,,,,,,,,,,,,,,,,,,
,468,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charisme,,,,,,,,,,,,,,,,,,
118,351,0,,,,"dialoguer, miner, servir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abandonné,,,,,,,,,,,,,,,
,565,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,588,0,,,,"se faire trahir, se faire arrêter, combattre",,maison,,,,,,,,,,,,Abandonné,,,,,,,,,,,,,,,,,,Combat,,,,,,,,,,,,,,,,,,
,96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combat,,,,,,,,,,,,,,,,,,
120,324,0,,,,"naviguer, observer",,"côte, mer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d6,,,,,,,,,,,,,,,,,
,559,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d6,,,,,,,,,,,,,,,,,
,207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d6,,,,,,,,,,,,,,,,,
121,x,0,,,,"attendre, combattre",,sous l'eau,,,combat fatal contre des répugnants,répugnant (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,213,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,543,0,1,,,"dialoguer, accepter une quête",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acide,,,,,,,,,,,,,,,
,384,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amulette de cuivre,,,,,,,,,,,,,,,,,,,
123,53,1,,,,"explorer, voyager, commercer, nager",,"rivière, gué",,,,,,,,,,,,,,,,,,,,,,,,,,,,,charde (1),,,,,,,,,,,,,,,,,,,
,53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,,,,,,,,,,,,,,,,,
,76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,,,,,,,,,,,,,,,,,
,276,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,420,1,,,,naviguer,,mer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protection des Tempêtes,Protection des Tempêtes,,,,,,,
,346,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"barque, brigantin, galion",,"1d6, 2d6, 3d6",,,,,,,,,,,,,"bon, hors pair",,,,
,583,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"barque, brigantin, galion",,"1d6, 2d6, 3d6",,,,,,,,,,,,,"bon, hors pair",,,,
,420,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"barque, brigantin, galion",,"1d6, 2d6, 3d6",,,,,,,,,,,,,"bon, hors pair",,,,
125,10,0,,,,"prier, dialoguer, observer",,cité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,199,0,1,,,"observer, libérer, combattre, prier, incanter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air,,,,,,,,,,,,,,,
,421,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piété,,,,,,,,,,,,,,,,,,
,210,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piété,,,,,,,,,,,,,,,,,,
127,269,0,,,,aucune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adresse,,,,,,,,,,,,,,,,,,
,183,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adresse,,,,,,,,,,,,,,,,,,
128,195,0,,,,"explorer, observer",,"côte, baie, camp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,641,2,,,,"écouter, investiguer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,521,0,,,,dialoguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arme,,,,,,,,,,,,,,,
,276,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,85,0,,,,observer,,île,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,413,0,,,,"jouer de la musique, se faire ensorceller",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piété,,,,,,,,,,,,,,,,,,
,307,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piété,,,,,,,,,,,,,,,,,,
133,100,0,,,,"fuir, observer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,235,0,,,,dialoguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,382,2,,,,observer,,"lac, village",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,292,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,203,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,474,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,548,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,278,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,576,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,387,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,639,0,,,,"naviguer, observer, écouter, dialoguer",,mer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d6,,,,,,,,,,,,,,,,,
,507,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d6,,,,,,,,,,,,,,,,,
,337,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d6,,,,,,,,,,,,,,,,,
,108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d6,,,,,,,,,,,,,,,,,
137,559,0,,,,observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,115,0,1,,,,,"rue, cité",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Affliction,,,,,,,,,,,,,,,
,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,129,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,619,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,295,0,,,,fuir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d6,,,,,total inférieur ou égal au Niveau du personnage,,,,,,,,,,,,
,663,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d6,,,,,total supérieur au Niveau du personnage,,,,,,,,,,,,
140,10,0,,,,débarquer,,port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,368,2,,,,observer,,"temple, souterrain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,261,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maka,,,,,,,,,
,481,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,372,1,,,,"visiter, commercer, recruter, entraîner",,bureau,"""Port de Marlock""",,,,,"barque, brigantin, galion, charde (selon ventes), cargaison (selon achats)","barque, brigantin, galion, charde (selon achats), cargaison (selon ventes)","barque, brigantin, galion, charde (selon achats), cargaison (selon ventes)",,,,,,,,,,,,,,,,"moyen, bon, hors pair",,,,,charde (10),,,,,,,,,,,,,,,,,,,
,455,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charde (15),,,,,,,,,,,,,,,,,,,
,234,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charde (30),,,,,,,,,,,,,,,,,,,
,424,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charde (30),,,,,,,,,,,,,,,,,,,
,84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"barque, brigantin, galion",,,,,,,,,,,,,,,,,,,
,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,316,0,,,,"abjurer, dialoguer",,temple,,,,,,,charde (40),charde (40),,,,,,,,,,Elnir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,223,0,,,,"prier, incanter, bannir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piété,,,,,,,,,,,,,,,,,,
,289,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piété,,,,,,,,,,,,,,,,,,
145,x,0,,,,combattre,,,,,combat fatal contre le roi Skabb,roi Skabb,,,mort-aux-rats,mort-aux-rats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,554,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,412,0,,,,"dialoguer, accepter une quête",,,,,,,,,,,,,,Arme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,469,0,,,,"écouter, dialoguer",,taverne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Troubadour,,,,,,,,,,,
,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,358,0,,,,"dialoguer, explorer, observer",,,,,,,,,,,,,,Api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,533,1,,,,"observer, commercer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charde (10),charde (10),,,,,,,,,,,,,,,,,,,
,468,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,100,0,,,,"naviguer, dialoguer",,"navire, cité",Une image montre une cité dans laquelle se dressent de grandes statues. Sans rapport avec le passage.,,,,,,charde (10),charde (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,244,0,,,,"dialoguer, se faire téléporter",,"caverne, montagne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,623,0,1,,,"explorer, commercer",,marché,,,,,,"charde (selon ventes), armure de cuir, arme simple, corde, lanterne, matériel d'escalade, antidote de scorpion","charde (selon achats), armure de cuir, broigne, arme simple, corde, lanterne, matériel d'escalade, antidote de scorpion, flûte en argent","charde (selon achats), armure de cuir, broigne, arme simple, corde, lanterne, matériel d'escalade, antidote de scorpion, flûte en argent",,,,,,,,,,,,,,,,,,,,,,,,,Arnaqueur,,,,,,,,,,,,,,,
,427,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,439,0,,,,"se rendre, naviguer",,"navire, mer",,,,,,,"charde (tout), cargaison (tout)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,343,2,,,,dialoguer,,"temple, port",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvir et Valmir,,,,,,,,,
,275,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
